Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,148.970780,2.960740,0.000000,bottom
C1,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,32.319220,30.619260,180.000000,bottom
C2,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.687860,27.893840,270.000000,bottom
C2,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,66.602140,5.686160,90.000000,bottom
C3,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10.406640,27.921780,90.000000,bottom
C3,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,170.883360,5.658220,270.000000,bottom
C4,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,79.948280,27.893840,270.000000,bottom
C4,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,101.341720,5.686160,90.000000,bottom
C5,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,47.447460,27.893840,270.000000,bottom
C5,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,133.842540,5.686160,90.000000,bottom
C6,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,23.647660,25.328440,0.000000,bottom
C6,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,157.642340,8.251560,180.000000,bottom
R1,4K7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,173.233360,5.658220,270.000000,bottom
R1,4K7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,8.056640,27.921780,90.000000,bottom
R2,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,175.583360,5.658220,270.000000,bottom
R2,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,5.706640,27.921780,90.000000,bottom
R3,20K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,24.937980,28.391680,90.000000,bottom
R3,20K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,156.352020,5.188320,270.000000,bottom
R4,20K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.037320,2.960740,0.000000,bottom
R4,20K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,28.252680,30.619260,180.000000,bottom
R5,4K7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,158.792960,4.817480,90.000000,bottom
R5,4K7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,22.497040,28.762520,270.000000,bottom
R9,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6.780000,23.310000,90.000000,bottom
R9,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,174.510000,10.270000,270.000000,bottom
R10,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,172.160000,10.270000,270.000000,bottom
R10,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,9.130000,23.310000,90.000000,bottom
R11,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4.430000,23.310000,90.000000,bottom
R11,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,176.860000,10.270000,270.000000,bottom
R12,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,179.210000,10.270000,270.000000,bottom
R12,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.080000,23.310000,90.000000,bottom
U1,MCP4921-E,SOIC-8_3.9x4.9mm_P1.27mm,151.231380,6.826620,270.000000,bottom
U1,MCP4921-E,SOIC-8_3.9x4.9mm_P1.27mm,30.058620,26.753380,90.000000,bottom
U2,LM339A,SOIC-14_3.9x8.7mm_P1.27mm,16.477240,28.279920,0.000000,bottom
U2,LM339A,SOIC-14_3.9x8.7mm_P1.27mm,164.812760,5.300080,180.000000,bottom
U3,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,74.619900,5.716640,180.000000,bottom
U3,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,106.670100,27.863360,0.000000,bottom
U4,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,108.965780,5.716640,180.000000,bottom
U4,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,72.324220,27.863360,0.000000,bottom
U7,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,140.997720,5.716640,180.000000,bottom
U7,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,40.292280,27.863360,0.000000,bottom
